ANNEE,MOIS,JOUR,NB_PIECES,TYPE,STANDING,COMMUNE,QUARTIER,LOYER,LIEN
2023.0,2.0,9.0,4.0,Maison,Moyen,Cocody/Riviera,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3529853647246517/?sale_post_id=3529853647246517
2023.0,2.0,9.0,4.0,Appartement,Haut,Cocody/Riviera,Ciad,670000000,https://www.facebook.com/groups/1558562987708936/permalink/3530053757226506/?sale_post_id=3530053757226506
2023.0,2.0,9.0,4.0,Maison,Moyen,Cocody/Riviera,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3529852287246653/?sale_post_id=3529852287246653
2023.0,1.0,10.0,4.0,Appartement,Economique,Cocody/Riviera,Ciad,300000000,https://www.facebook.com/groups/1558562987708936/permalink/3505129083052307/?sale_post_id=3505129083052307
2023.0,2.0,9.0,4.0,Maison,Moyen,Cocody/Riviera,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3529505533947995/?sale_post_id=3529505533947995
2023.0,2.0,7.0,4.0,Appartement,Haut,Cocody/Riviera,Ciad,1000000000,https://www.facebook.com/groups/1558562987708936/permalink/3527891640776051/?sale_post_id=3527891640776051
2023.0,2.0,9.0,4.0,Appartement,Haut,Cocody/Riviera,Ciad,670000000,https://www.facebook.com/groups/1558562987708936/permalink/3530051110560104/?sale_post_id=3530051110560104
2023.0,1.0,20.0,4.0,Maison,Economique,Cocody/Riviera,Ciad,80000,https://www.facebook.com/groups/1558562987708936/permalink/3513362335562315/?sale_post_id=3513362335562315
2023.0,2.0,16.0,4.0,Appartement,Haut,Cocody/Riviera,Ciad,700000000,https://www.facebook.com/groups/1558562987708936/permalink/3535697209995494/?sale_post_id=3535697209995494
2022.0,12.0,30.0,8.0,Maison,Economique,Cocody/Riviera,Ciad,130000,https://www.facebook.com/groups/1558562987708936/permalink/3496021810629701/?sale_post_id=3496021810629701
2023.0,2.0,9.0,4.0,Maison,Moyen,Cocody/Riviera,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3529873700577845/?sale_post_id=3529873700577845
2023.0,1.0,28.0,2.0,Appartement,Economique,Cocody/Riviera,Ciad,200000000,https://www.facebook.com/groups/1558562987708936/permalink/3519529761612239/?sale_post_id=3519529761612239
2023.0,1.0,15.0,3.0,Appartement,Economique,Cocody/Riviera,Ciad,1000,https://www.facebook.com/groups/1558562987708936/permalink/3508792426019306/?sale_post_id=3508792426019306
2023.0,2.0,9.0,2.0,Appartement,Economique,Cocody/Riviera,Ciad,185000000,https://www.facebook.com/groups/1558562987708936/permalink/3529539713944577/?sale_post_id=3529539713944577
2018.0,2.0,16.0,4.0,Appartement,Haut,Cocody/Riviera,Ciad,670000000,https://www.facebook.com/groups/1558562987708936/permalink/3531770700388145/?sale_post_id=3531770700388145
2023.0,1.0,5.0,7.0,Maison,Haut,Cocody/Riviera,Ciad,2500000000,https://www.facebook.com/groups/1558562987708936/permalink/3500665066832042/?sale_post_id=3500665066832042
2022.0,12.0,26.0,8.0,Maison,Moyen,Cocody/Riviera,Ciad,600000000,https://www.facebook.com/groups/1558562987708936/permalink/3492760124289203/?sale_post_id=3492760124289203
2023.0,1.0,5.0,4.0,Maison,Moyen,Cocody/Riviera,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3501064026792146/?sale_post_id=3501064026792146
2023.0,1.0,24.0,4.0,Maison,Economique,Cocody/Riviera,Ciad,80000,https://www.facebook.com/groups/1558562987708936/permalink/3516746511890564/?sale_post_id=3516746511890564
2022.0,12.0,29.0,5.0,Maison,Moyen,Cocody/Riviera,Ciad,600000000,https://www.facebook.com/groups/1558562987708936/permalink/3494940264071189/?sale_post_id=3494940264071189
2022.0,12.0,26.0,6.0,Appartement,Moyen,Cocody/Riviera,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3492745364290679/?sale_post_id=3492745364290679
2022.0,12.0,30.0,4.0,Maison,Economique,Cocody/Riviera,Ciad,450000000,https://www.facebook.com/groups/1558562987708936/permalink/3496170843948131/?sale_post_id=3496170843948131
2022.0,12.0,24.0,,Appartement,Economique,Cocody/Riviera,Ciad,60000000,https://www.facebook.com/groups/1558562987708936/permalink/3490993064465909/?sale_post_id=3490993064465909
2022.0,12.0,25.0,5.0,Maison,Moyen,Cocody/Riviera,Ciad,600000000,https://www.facebook.com/groups/1558562987708936/permalink/3492092484355967/?sale_post_id=3492092484355967
2022.0,12.0,27.0,5.0,Maison,Moyen,Cocody/Riviera,Ciad,600000000,https://www.facebook.com/groups/1558562987708936/permalink/3493493507549198/?sale_post_id=3493493507549198
2023.0,1.0,3.0,4.0,Maison,Economique,Cocody/Riviera,Ciad,450000000,https://www.facebook.com/groups/1558562987708936/permalink/3499726000259282/?sale_post_id=3499726000259282
2023.0,2.0,5.0,4.0,Maison,Economique,Cocody/Riviera,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3526615517570330/?sale_post_id=3526615517570330
2023.0,1.0,8.0,8.0,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3503722076526341/?sale_post_id=3503722076526341
2023.0,2.0,2.0,4.0,Maison,Haut,Cocody/Riviera,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3524279184470630/?sale_post_id=3524279184470630
2023.0,1.0,11.0,4.0,Appartement,Haut,Cocody/Riviera,Mbadon,1200000000,https://web.facebook.com/groups/1558562987708936/permalink/3505577616340787/?sale_post_id=3505577616340787
2023.0,2.0,6.0,20.0,Maison,Economique,Cocody/Riviera,Mbadon,10000,https://web.facebook.com/groups/1558562987708936/permalink/3527589020806313/?sale_post_id=3527589020806313
2023.0,1.0,4.0,,Maison,Economique,Cocody/Riviera,Mbadon,22000000,https://web.facebook.com/groups/1558562987708936/permalink/3500011496897399/?sale_post_id=3500011496897399
2023.0,1.0,11.0,4.0,Appartement,Haut,Cocody/Riviera,Mbadon,800000000,https://web.facebook.com/groups/1558562987708936/permalink/3505681656330383/?sale_post_id=3505681656330383
2023.0,2.0,1.0,7.0,Maison,Haut,Cocody/Riviera,Mbadon,1500000000,https://web.facebook.com/groups/1558562987708936/permalink/3523182557913626/?sale_post_id=3523182557913626
2023.0,2.0,6.0,4.0,Maison,Economique,Cocody/Riviera,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3527089230856292/?sale_post_id=3527089230856292
2023.0,1.0,21.0,,Maison,Haut,Cocody/Riviera,Mbadon,2000000000,https://web.facebook.com/groups/1558562987708936/permalink/3513942962170919/?sale_post_id=3513942962170919
2023.0,2.0,9.0,,Maison,Haut,Cocody/Riviera,Mbadon,3000000000,https://web.facebook.com/groups/1558562987708936/permalink/3530109067220975/?sale_post_id=3530109067220975
2023.0,1.0,9.0,7.0,Maison,Haut,Cocody/Riviera,Mbadon,3000000000,https://web.facebook.com/groups/1558562987708936/permalink/3504022816496267/?sale_post_id=3504022816496267
2023.0,1.0,31.0,4.0,Maison,Haut,Cocody/Riviera,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3522496294648919/?sale_post_id=3522496294648919
2023.0,2.0,6.0,20.0,Maison,Haut,Cocody/Riviera,Mbadon,1000000000,https://web.facebook.com/groups/1558562987708936/permalink/3527206777511204/?sale_post_id=3527206777511204
2023.0,2.0,5.0,4.0,Maison,Haut,Cocody/Riviera,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3526682460896969/?sale_post_id=3526682460896969
2023.0,1.0,25.0,4.0,Maison,Haut,Cocody/Riviera,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3517613575137191/?sale_post_id=3517613575137191
2023.0,1.0,9.0,2.0,Maison,Economique,Cocody/Riviera,Mbadon,130000000,https://web.facebook.com/groups/1558562987708936/permalink/3503994703165745/?sale_post_id=3503994703165745
2023.0,1.0,25.0,4.0,Maison,Haut,Cocody/Riviera,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3517400268491855/?sale_post_id=3517400268491855
2023.0,1.0,17.0,4.0,Appartement,Economique,Cocody/Riviera,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3510737945824754/?sale_post_id=3510737945824754
2022.0,12.0,30.0,8.0,Maison,Economique,Cocody/Riviera,Mbadon,130000,https://web.facebook.com/groups/1558562987708936/permalink/3496021810629701/?sale_post_id=3496021810629701
2023.0,1.0,23.0,4.0,Appartement,Economique,Cocody/Riviera,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3515609755337573/?sale_post_id=3515609755337573
2023.0,1.0,23.0,4.0,Appartement,Haut,Cocody/Riviera,Mbadon,1600000000,https://web.facebook.com/groups/1558562987708936/permalink/3515917898640092/?sale_post_id=3515917898640092
2023.0,1.0,9.0,4.0,Appartement,Economique,Cocody/Riviera,Mbadon,850000,https://web.facebook.com/groups/1558562987708936/permalink/3503983669833515/?sale_post_id=3503983669833515
2023.0,1.0,14.0,4.0,Appartement,Economique,Cocody/Riviera,Mbadon,500000,https://web.facebook.com/groups/1558562987708936/permalink/3508399879391894/?sale_post_id=3508399879391894
2023.0,1.0,9.0,3.0,Appartement,Economique,Cocody/Riviera,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3503799643185251/?sale_post_id=3503799643185251
2023.0,1.0,27.0,4.0,Maison,Haut,Cocody/Riviera,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3518729621692253/?sale_post_id=3518729621692253
2023.0,1.0,10.0,,Maison,Economique,Cocody/Riviera,Mbadon,100000000,https://web.facebook.com/groups/1558562987708936/permalink/3504940646404484/?sale_post_id=3504940646404484
2023.0,1.0,24.0,4.0,Maison,Haut,Cocody/Riviera,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3516628661902349/?sale_post_id=3516628661902349
2023.0,1.0,12.0,,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3506449426253606/?sale_post_id=3506449426253606
2023.0,1.0,27.0,4.0,Maison,Haut,Cocody/Riviera,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3519165174982031/?sale_post_id=3519165174982031
2023.0,2.0,2.0,4.0,Appartement,Haut,Cocody/Riviera,Mbadon,800000000,https://web.facebook.com/groups/1558562987708936/permalink/3523799047851977/?sale_post_id=3523799047851977
2023.0,2.0,2.0,4.0,Maison,Haut,Cocody/Riviera,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3523991564499392/?sale_post_id=3523991564499392
2023.0,1.0,25.0,4.0,Maison,Haut,Cocody/Riviera,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3517100275188521/?sale_post_id=3517100275188521
2023.0,1.0,4.0,8.0,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3500169830214899/?sale_post_id=3500169830214899
2022.0,12.0,19.0,8.0,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3486288394936376/?sale_post_id=3486288394936376
2023.0,1.0,23.0,,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3515780525320496/?sale_post_id=3515780525320496
2023.0,2.0,4.0,4.0,Maison,Moyen,Cocody/Riviera,Mbadon,500000000,https://web.facebook.com/groups/1558562987708936/permalink/3525428781022337/?sale_post_id=3525428781022337
2023.0,1.0,4.0,,Maison,Economique,Cocody/Riviera,Mbadon,4000,https://web.facebook.com/groups/1558562987708936/permalink/3500005666897982/?sale_post_id=3500005666897982
2023.0,1.0,4.0,,Maison,Economique,Cocody/Riviera,Mbadon,450000000,https://web.facebook.com/groups/1558562987708936/permalink/3500004476898101/?sale_post_id=3500004476898101
2023.0,1.0,24.0,4.0,Maison,Haut,Cocody/Riviera,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3516633121901903/?sale_post_id=3516633121901903
2023.0,1.0,3.0,8.0,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3499549776943571/?sale_post_id=3499549776943571
2023.0,1.0,26.0,7.0,Maison,Haut,Cocody/Riviera,Mbadon,2000000000,https://web.facebook.com/groups/1558562987708936/permalink/3518423731722842/?sale_post_id=3518423731722842
2023.0,1.0,16.0,9.0,Maison,Haut,Cocody/Riviera,Mbadon,3250000000,https://web.facebook.com/groups/1558562987708936/permalink/3509750522590163/?sale_post_id=3509750522590163
2023.0,1.0,17.0,3.0,Appartement,Economique,Cocody/Riviera,Mbadon,450000000,https://web.facebook.com/groups/1558562987708936/permalink/3510579949173887/?sale_post_id=3510579949173887
2023.0,1.0,12.0,9.0,Maison,Economique,Cocody/Riviera,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3506449076253641/?sale_post_id=3506449076253641
2023.0,1.0,5.0,7.0,Maison,Economique,Cocody/Riviera,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3501210296777519/?sale_post_id=3501210296777519
2023.0,1.0,29.0,8.0,Maison,Economique,Cocody/Riviera,Mbadon,350000,https://web.facebook.com/groups/1558562987708936/permalink/3520883104810238/?sale_post_id=3520883104810238
2023.0,1.0,23.0,7.0,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3515743365324212/?sale_post_id=3515743365324212
2023.0,1.0,18.0,,Maison,Haut,Cocody/Riviera,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3511302349101647/?sale_post_id=3511302349101647
2021.0,2.0,21.0,,Appartement,Economique,Cocody/Riviera,Mbadon,140000,https://web.facebook.com/groups/1558562987708936/permalink/3537414103157138/?sale_post_id=3537414103157138
