ANNEE,MOIS,JOUR,NB_PIECES,TYPE,STANDING,COMMUNE,QUARTIER,LOYER,LIEN
2023,2,5,4.0,Maison,Economique,Cocody,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3526615517570330/?sale_post_id=3526615517570330
2023,1,8,8.0,Maison,Haut,Cocody,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3503722076526341/?sale_post_id=3503722076526341
2023,2,2,4.0,Maison,Haut,Cocody,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3524279184470630/?sale_post_id=3524279184470630
2023,1,11,4.0,Appartement,Haut,Cocody,Mbadon,1200000000,https://web.facebook.com/groups/1558562987708936/permalink/3505577616340787/?sale_post_id=3505577616340787
2023,2,6,20.0,Maison,Economique,Cocody,Mbadon,10000,https://web.facebook.com/groups/1558562987708936/permalink/3527589020806313/?sale_post_id=3527589020806313
2023,1,4,,Maison,Economique,Cocody,Mbadon,22000000,https://web.facebook.com/groups/1558562987708936/permalink/3500011496897399/?sale_post_id=3500011496897399
2023,1,11,4.0,Appartement,Haut,Cocody,Mbadon,800000000,https://web.facebook.com/groups/1558562987708936/permalink/3505681656330383/?sale_post_id=3505681656330383
2023,2,1,7.0,Maison,Haut,Cocody,Mbadon,1500000000,https://web.facebook.com/groups/1558562987708936/permalink/3523182557913626/?sale_post_id=3523182557913626
2023,2,6,4.0,Maison,Economique,Cocody,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3527089230856292/?sale_post_id=3527089230856292
2023,1,21,,Maison,Haut,Cocody,Mbadon,2000000000,https://web.facebook.com/groups/1558562987708936/permalink/3513942962170919/?sale_post_id=3513942962170919
2023,2,9,,Maison,Haut,Cocody,Mbadon,3000000000,https://web.facebook.com/groups/1558562987708936/permalink/3530109067220975/?sale_post_id=3530109067220975
2023,1,9,7.0,Maison,Haut,Cocody,Mbadon,3000000000,https://web.facebook.com/groups/1558562987708936/permalink/3504022816496267/?sale_post_id=3504022816496267
2023,1,31,4.0,Maison,Haut,Cocody,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3522496294648919/?sale_post_id=3522496294648919
2023,2,6,20.0,Maison,Haut,Cocody,Mbadon,1000000000,https://web.facebook.com/groups/1558562987708936/permalink/3527206777511204/?sale_post_id=3527206777511204
2023,2,5,4.0,Maison,Haut,Cocody,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3526682460896969/?sale_post_id=3526682460896969
2023,1,25,4.0,Maison,Haut,Cocody,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3517613575137191/?sale_post_id=3517613575137191
2023,1,9,2.0,Maison,Economique,Cocody,Mbadon,130000000,https://web.facebook.com/groups/1558562987708936/permalink/3503994703165745/?sale_post_id=3503994703165745
2023,1,25,4.0,Maison,Haut,Cocody,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3517400268491855/?sale_post_id=3517400268491855
2023,1,17,4.0,Appartement,Economique,Cocody,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3510737945824754/?sale_post_id=3510737945824754
2022,12,30,8.0,Maison,Economique,Cocody,Mbadon,130000,https://web.facebook.com/groups/1558562987708936/permalink/3496021810629701/?sale_post_id=3496021810629701
2023,1,23,4.0,Appartement,Economique,Cocody,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3515609755337573/?sale_post_id=3515609755337573
2023,1,23,4.0,Appartement,Haut,Cocody,Mbadon,1600000000,https://web.facebook.com/groups/1558562987708936/permalink/3515917898640092/?sale_post_id=3515917898640092
2023,1,9,4.0,Appartement,Economique,Cocody,Mbadon,850000,https://web.facebook.com/groups/1558562987708936/permalink/3503983669833515/?sale_post_id=3503983669833515
2023,1,14,4.0,Appartement,Economique,Cocody,Mbadon,500000,https://web.facebook.com/groups/1558562987708936/permalink/3508399879391894/?sale_post_id=3508399879391894
2023,1,9,3.0,Appartement,Economique,Cocody,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3503799643185251/?sale_post_id=3503799643185251
2023,1,27,4.0,Maison,Haut,Cocody,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3518729621692253/?sale_post_id=3518729621692253
2023,1,10,,Maison,Economique,Cocody,Mbadon,100000000,https://web.facebook.com/groups/1558562987708936/permalink/3504940646404484/?sale_post_id=3504940646404484
2023,1,24,4.0,Maison,Haut,Cocody,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3516628661902349/?sale_post_id=3516628661902349
2023,1,12,,Maison,Haut,Cocody,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3506449426253606/?sale_post_id=3506449426253606
2023,1,27,4.0,Maison,Haut,Cocody,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3519165174982031/?sale_post_id=3519165174982031
2023,2,2,4.0,Appartement,Haut,Cocody,Mbadon,800000000,https://web.facebook.com/groups/1558562987708936/permalink/3523799047851977/?sale_post_id=3523799047851977
2023,2,2,4.0,Maison,Haut,Cocody,Mbadon,700000000,https://web.facebook.com/groups/1558562987708936/permalink/3523991564499392/?sale_post_id=3523991564499392
2023,1,25,4.0,Maison,Haut,Cocody,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3517100275188521/?sale_post_id=3517100275188521
2023,1,4,8.0,Maison,Haut,Cocody,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3500169830214899/?sale_post_id=3500169830214899
2022,12,19,8.0,Maison,Haut,Cocody,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3486288394936376/?sale_post_id=3486288394936376
2023,1,23,,Maison,Haut,Cocody,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3515780525320496/?sale_post_id=3515780525320496
2023,2,4,4.0,Maison,Moyen,Cocody,Mbadon,500000000,https://web.facebook.com/groups/1558562987708936/permalink/3525428781022337/?sale_post_id=3525428781022337
2023,1,4,,Maison,Economique,Cocody,Mbadon,4000,https://web.facebook.com/groups/1558562987708936/permalink/3500005666897982/?sale_post_id=3500005666897982
2023,1,4,,Maison,Economique,Cocody,Mbadon,450000000,https://web.facebook.com/groups/1558562987708936/permalink/3500004476898101/?sale_post_id=3500004476898101
2023,1,24,4.0,Maison,Haut,Cocody,Mbadon,750000000,https://web.facebook.com/groups/1558562987708936/permalink/3516633121901903/?sale_post_id=3516633121901903
2023,1,3,8.0,Maison,Haut,Cocody,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3499549776943571/?sale_post_id=3499549776943571
2023,1,26,7.0,Maison,Haut,Cocody,Mbadon,2000000000,https://web.facebook.com/groups/1558562987708936/permalink/3518423731722842/?sale_post_id=3518423731722842
2023,1,16,9.0,Maison,Haut,Cocody,Mbadon,3250000000,https://web.facebook.com/groups/1558562987708936/permalink/3509750522590163/?sale_post_id=3509750522590163
2023,1,17,3.0,Appartement,Economique,Cocody,Mbadon,450000000,https://web.facebook.com/groups/1558562987708936/permalink/3510579949173887/?sale_post_id=3510579949173887
2023,1,12,9.0,Maison,Economique,Cocody,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3506449076253641/?sale_post_id=3506449076253641
2023,1,5,7.0,Maison,Economique,Cocody,Mbadon,1000,https://web.facebook.com/groups/1558562987708936/permalink/3501210296777519/?sale_post_id=3501210296777519
2023,1,29,8.0,Maison,Economique,Cocody,Mbadon,350000,https://web.facebook.com/groups/1558562987708936/permalink/3520883104810238/?sale_post_id=3520883104810238
2023,1,23,7.0,Maison,Haut,Cocody,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3515743365324212/?sale_post_id=3515743365324212
2023,1,18,,Maison,Haut,Cocody,Mbadon,3500000000,https://web.facebook.com/groups/1558562987708936/permalink/3511302349101647/?sale_post_id=3511302349101647
